序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
50,小家电,25,5087.3,5.80%,13.11,12.15,0.96
51,包装印刷,47,5091.63,5.79%,64.46,71.38,-6.92
52,元件,60,16046.5,5.71%,252.82,203.95,48.87
53,厨卫电器,9,7299.9,5.46%,3.56,3.58,-0.01
54,轨交设备,30,1194.86,5.45%,9.43,9.67,-0.24
55,化学制品,175,7542.54,5.37%,115.33,114.77,0.56
56,橡胶制品,21,16587.8,5.36%,8.37,8.32,0.05
57,环境治理,112,4329.4,5.20%,58.05,55.84,2.21
58,电池,102,20722.5,5.17%,363.42,282.54,80.88
59,房地产,90,1921.6,5.15%,97.59,96.52,1.07
60,白色家电,43,8703.29,5.07%,136.54,131.74,4.79
61,纺织制造,32,2638.1,5.01%,18.76,24.17,-5.41
62,电力,104,1842.37,4.68%,76.33,73.81,2.53
63,钢铁,43,1875.92,4.56%,41.8,42.54,-0.74
64,食品加工制造,66,5610.41,4.50%,26.07,23.35,2.72
65,贸易,15,3211.41,4.35%,7.24,6.57,0.68
66,汽车零部件,261,7389.11,4.23%,295.89,322.55,-26.66
67,燃气,28,1868.41,4.22%,16.57,18.08,-1.51
68,美容护理,32,5975.79,4.12%,17.01,15.16,1.85
69,证券,50,1687.4,4.11%,194.82,135.88,58.94
70,中药,69,3454.63,4.01%,44.82,30.87,13.95
71,服装家纺,76,3195.28,3.99%,32.96,35.73,-2.76
72,化学纤维,29,4171.68,3.92%,25.41,29.63,-4.22
73,家居用品,97,4659.23,3.92%,35.27,34.28,0.99
74,养殖业,38,3192.88,3.78%,24.98,26.45,-1.47
75,饮料制造,46,5447.38,3.60%,22.68,23.75,-1.06
76,农化制品,61,5285.22,3.57%,74.95,69.05,5.9
77,旅游及酒店,35,3507.74,3.54%,15.62,22.65,-7.03
78,白酒,20,2783.49,3.31%,91.78,57.98,33.8
79,电机,25,3941.97,2.49%,44.71,55.33,-10.62
80,种植业与林业,30,4696.05,2.41%,31.96,37.92,-5.95
81,物流,49,5932.42,2.25%,24.84,28.15,-3.31
82,港口航运,36,1204.6,2.22%,25.8,39.22,-13.42
83,汽车服务及其他,25,1272.31,2.01%,9.03,9.22,-0.2
84,农产品加工,43,4474.96,1.77%,16.41,17.6,-1.19
85,石油加工贸易,28,3645.68,1.55%,33.57,41.86,-8.29
86,汽车整车,23,3426.15,1.44%,55.63,62.94,-7.31
87,造纸,23,2274.93,1.22%,11.19,16.3,-5.1
88,公路铁路运输,32,1427.83,0.46%,12.39,19.8,-7.41
89,机场航运,13,2474.89,-0.60%,24.97,27.26,-2.28
90,银行,84,1300.35,-1.39%,100.61,120.16,-19.55
