序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
72,能源金属,13,31977.0,1.54%,90.05,93.44,-3.39
73,贸易,15,3211.41,1.42%,5.01,6.41,-1.4
74,白酒,20,2783.49,1.38%,40.25,46.11,-5.86
75,中药,69,3454.63,1.17%,30.78,41.76,-10.98
76,物流,49,5932.42,1.12%,21.61,29.44,-7.83
77,小家电,25,5087.3,0.81%,11.22,16.18,-4.96
78,化学纤维,29,4171.68,0.74%,27.23,30.17,-2.95
79,汽车服务及其他,25,1272.31,0.61%,10.21,13.48,-3.27
80,电池,102,20722.5,0.52%,320.72,392.52,-71.8
81,造纸,23,2274.93,0.50%,9.11,14.48,-5.36
82,农产品加工,43,4474.96,0.02%,15.27,22.78,-7.51
83,公路铁路运输,32,1427.83,0.01%,16.58,30.37,-13.79
84,石油加工贸易,28,3645.68,-0.41%,27.0,33.38,-6.39
85,汽车整车,23,3426.15,-0.56%,81.68,109.42,-27.74
86,机场航运,13,2474.89,-0.68%,16.94,25.72,-8.78
87,农化制品,61,5285.22,-0.98%,66.95,75.54,-8.59
88,证券,50,1687.4,-1.01%,180.37,264.93,-84.56
89,银行,84,1300.35,-1.57%,89.81,136.95,-47.14
90,保险,5,2629.77,-2.42%,57.54,52.64,4.9
